,All_Mean,All_Median,Surv_Mean,Surv_Median,Diff_Mean
book_lev,0.2599668420092547,0.24125929441544058,0.26451793133319396,0.26162239942442594,0.0045510893239392725
market_lev,0.27239392028854925,0.21495179816573548,0.305816852385064,0.2726402119362473,0.03342293209651476
log_sales,4.150464309264289,4.172477755625443,5.026633159814276,5.061676888137205,0.8761688505499867
mtb,1.558014275915021,1.00127587626652,1.166130240511967,0.8905324535579813,-0.39188403540305417
profitability,0.06682213501148246,0.11607746310597308,0.12961145053081213,0.13226022145468386,0.06278931551932967
tangibility,0.33536021236106345,0.27592774153886795,0.39175293682139356,0.3306743450389291,0.05639272446033011
cf_vol,0.0652310565855135,0.03318087723258762,0.037567626601586995,0.023465120220243788,-0.0276634299839265
ind_med_lev,0.2336341942481977,0.23235878583138758,0.25616236804973164,0.24345570800460029,0.022528173801533935
div_payer,0.3945705145998189,0.0,0.6221959217355426,1.0,0.2276254071357237
intangibles,0.05312360057091704,0.0,0.03723376605140804,0.0,-0.015889834519509004
