,Mean,Median,SD
book_lev,0.26451793133319396,0.26162239942442594,0.17725248615014055
market_lev,0.305816852385064,0.2726402119362473,0.23753240608412912
log_sales,5.026633159814276,5.061676888137205,2.338831611351178
mtb,1.166130240511967,0.8905324535579813,0.8689218507442701
profitability,0.12961145053081213,0.13226022145468386,0.09760999449636044
tangibility,0.39175293682139356,0.3306743450389291,0.2466616529160414
cf_vol,0.037567626601586995,0.023465120220243788,0.04222550473535375
ind_med_lev,0.25616236804973164,0.24345570800460029,0.093048015774098
div_payer,0.6221959217355426,1.0,0.4848409111334834
intangibles,0.03723376605140804,0.0,0.07374763297964194
